"","x"
"1","ACRU"
"2","FRAM2"
"3","TSCA"
"4","FAGR"
"5","ACSAS"
"6","FRPE"
"7","BEAL2"
"8","PIRU"
"9","ABBA"
"10","BEPA"
"11","BEPAC2"
"12","ACPE"
"13","BEPAP"
"14","OSVI"
"15","POTR5"
"16","BEPAC"
"17","2PLANT"
"18","PIST"
"19","POGR4"
"20","QURU"
"21","TIAM"
"22","ULAM"
"23","HAVI4"
"24","VILA11"
"25","PINACE"
"26","FRNI"
"27","FRAXI"
"28","VILA"
"29","PIAB"
"30","ILVE"
"31","ILMU"
"32","BELE"
"33","PIRE"
"34","QUAL"
"35","PRSES"
"36","NYSY"
"37","KALA"
"38","VACO"
"39","LIBE3"
"40","VIAC"
"41","CADE12"
"42","PIMA"
"43","QUVE"
"44","RHPR"
"45","VAMU2"
"46","CRATA"
"47","PRSE2"
"48","VIBUR"
"49","COCO6"
"50","TOVE"
"51","SOAM3"
"52","AMELA"
"53","BEPO"
"54","CAGL8"
"55","LIST2"
"56","CATO6"
"57","QUMO4"
"58","ACER"
"59","PIVI2"
"60","SAAL5"
"61","ULMUS"
"62","QUFA"
"63","QUBI"
"64","LITU"
"65","KALMI"
"66","ACNE2"
"67","COFL2"
"68","CACA18"
"69","PATO2"
"70","ILOP"
"71","QUMA3"
"72","QUERC"
"73","PRAV"
"74","CARYA"
"75","DIVI5"
"76","JUVI"
"77","PLOC"
"78","QUMI"
"79","BENI"
"80","ROMU"
"81","VITIS"
"82","LOJA"
"83","CACO15"
"84","PAQU2"
"85","TORA2"
"86","DIVI"
"87","VIPR"
"88","BETH"
"89","ARSP2"
"90","ROPS"
"91","ELUM"
"92","CEOR7"
"93","ASTR"
"94","AIAL"
"95","CAOV3"
"96","JUNI"
"97","QURUR"
"98","MALUS"
"99","CECAC"
"100","CEOC"
"101",NA
"102","2PLANT-H"
"103","LOMA6"
"104","SYOR"
"105","RUPH"
"106","RUBUS"
"107","QUMA6"
"108","QULA2"
"109","PIPA2"
"110","VAAR"
"111","SERE2"
"112","SAMI8"
"113","SAET"
"114","ASIN12"
"115","QUGE2"
"116","SABAL"
"117","BETUL"
"118","ACSA3"
"119","PIGL"
"120","LALA"
"121","DIPA9"
"122","ALINR"
"123","PRUNU"
"124","POTR11"
"125","POGRA2"
"126","COPE80"
"127","VAMY"
"128","LEGR"
"129","PRVI"
"130","ACSP2"
"131","SALIX"
"132","BEPE2"
"133","THOC2"
"134","AMSA"
"135","LOCA7"
"136","ACSA2"
"137","AMAR3"
"138","LAGR"
"139","OXAR"
"140","CAOV2"
"141","QUST"
"142","PIEC2"
"143","PINUS"
"144","QUCO2"
"145","MATR"
"146","CECA4"
"147","FRCA13"
"148","ILMO"
"149","ACRUR"
"150","VAST"
"151","MAGNO"
"152","ULRU"
"153","PIRI"
"154","MAAC"
"155","PIPU5"
"156","HATE3"
"157","MAFR"
"158","JUCI"
"159","PYPU"
"160","GAUR"
"161","CAFL22"
"162","RHMA4"
"163","CLAC3"
"164","RHCO"
"165","AMLA"
"166","AEFL"
"167","BICA"
"168","PHHI2"
"169","QULY"
"170","CELA"
"171","CARA2"
"172","QUPH"
"173","VIRO3"
"174","ITVI"
"175","VIAE"
"176","NYAQ2"
"177","BROV4"
"178","QUNI"
"179","COFO"
"180","TADI2"
"181","VIVU"
"182","CELTI"
"183","MORU2"
"184","ULMUSSPP"
"185","MEAZ"
"186","LISI"
"187","TRSE6"
"188","AMAR5"
"189","BESC"
"190","VITISSPP"
"191","CAAQ2"
"192","CEOC2"
"193","ILDE"
"194","LIJA"
"195","QUPA5"
"196","QULA3"
"197","ULAL"
"198","VICI2"
"199","COCA"
"200","COAM2"
"201","CAAM2"
"202","HAVI2"
"203","CEPHA"
"204","DIFR6"
"205","QUHE2"
"206","VIRO2"
"207","CECA2"
"208","VICA"
"209","QUNE"
"210","PACU2"
"211","SMILA2"
"212","SANI4"
"213","HADI3"
"214","PITA"
"215","PRSE"
"216","PIGL2"
"217","BUMEL"
"218","WISTE"
"219","ILVO"
"220","POTR4"
"221","SYTI"
"222","SECA4"
"223","CAAQ3"
"224","CAPA24"
"225","QUPA"
"226","CRATASPP"
"227","AEPA"
"228","VACCI"
"229","MAMA2"
"230","CAOD3"
"231","SAVA7"
"232","SMLA"
"233","VAPA4"
"234","VINU"
"235","VASTC"
"236","CAAL27"
"237","CAMI33"
"238","CAOVC"
"239","CLETH"
"240","CORNU"
"241","CYFL7"
"242","DIVIP3"
"243","ILEX"
"244","MAVI2"
"245","RHUS"
